text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.7479762434959412,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.9964593052864075,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,1,0.7182132005691528,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,0,0.9968385696411133,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,0,0.9895883798599243,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,1,0.9228305220603943,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,0,0.9865896701812744,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",0,0.9381265044212341,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9551404714584351,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.6356871724128723,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.8966946601867676,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.9120097160339355,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,1,0.9149529337882996,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.9621245265007019,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,1,0.8875107765197754,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.7185707092285156,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.9914519786834717,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.9757973551750183,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,1,0.6817513704299927,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.9927017688751221,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,1,0.554321825504303,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,1,0.8420202136039734,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.93183833360672,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,1,0.6559813618659973,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.9933911561965942,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,1,0.8155210614204407,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,0,0.7557386159896851,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.7183130979537964,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.9752610921859741,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,0,0.9861630797386169,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.9619593620300293,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,0,0.7992016673088074,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.9956383109092712,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.9832398295402527,0,North Korean,SeeGULL - GPT Augmentation
